web-scraper-order,web-scraper-start-url,link,link-href,title,author,description,genres,isbn,location,cover,date
"1613083995-3013","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Googled: The End of the World as We Know It","https://www.goodreads.com/book/show/6514908-googled","Googled: The End of the World as We Know It","Ken Auletta","null","Technology","1594202354
                      (ISBN13: 9781594202353)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347715468l/6514908.jpg","(first published 2009)"
"1613083727-2693","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley","https://www.goodreads.com/book/show/28259132-chaos-monkeys","Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley","Antonio García Martínez","null","Biography","0062458191
                      (ISBN13: 9780062458193)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465404348l/28259132._SY475_.jpg","null"
"1613083891-2861","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","On the Edge: The Spectacular Rise and Fall of Commodore","https://www.goodreads.com/book/show/412006.On_the_Edge","On the Edge: The Spectacular Rise and Fall of Commodore","Brian  Bagnall","null","Computer Science","0973864907
                      (ISBN13: 9780973864908)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328861455l/412006.jpg","(first published September 14th 2005)"
"1613083796-2750","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Apple Confidential 2.0: The Definitive History of the World's Most Colorful Company","https://www.goodreads.com/book/show/48870.Apple_Confidential_2_0","Apple Confidential 2.0: The Definitive History of the World's Most Colorful Company","Owen W. Linzmayer","null","Technology","1593270100
                      (ISBN13: 9781593270100)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328753426l/48870.jpg","(first published January 2004)"
"1613084454-3547","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Facebook Effect: The Inside Story of the Company That is Connecting the World","https://www.goodreads.com/book/show/7518289-the-facebook-effect","The Facebook Effect: The Inside Story of the Company That is Connecting the World","David   Kirkpatrick","null","Economics","1439102112
                      (ISBN13: 9781439102114)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442657421l/7518289._SY475_.jpg","(first published 2010)"
"1613083811-2762","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Planet Google: One Company's Audacious Plan to Organize Everything We Know","https://www.goodreads.com/book/show/3839314-planet-google","Planet Google: One Company's Audacious Plan to Organize Everything We Know","Randall E. Stross","null","Economics","141654691X
                      (ISBN13: 9781416546917)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348605830l/3839314.jpg","(first published January 1st 2008)"
"1613083710-2664","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Hooking Up","https://www.goodreads.com/book/show/2025353.Hooking_Up","Hooking Up","Tom Wolfe","null","Essays","0374103828
                      (ISBN13: 9780374103828)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423503927l/2025353.jpg","(first published 1989)"
"1613084109-3160","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The One Device: The Secret History of the iPhone","https://www.goodreads.com/book/show/32603496-the-one-device","The One Device: The Secret History of the iPhone","Brian Merchant","null","Design","0593078411
                      (ISBN13: 9780593078419)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481570357l/32603496._SY475_.jpg","null"
"1613084293-3374","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Founders at Work: Stories of Startups' Early Days","https://www.goodreads.com/book/show/98233.Founders_at_Work","Founders at Work: Stories of Startups' Early Days","Jessica Livingston","null","Science","1590597141
                      (ISBN13: 9781590597149)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439953323l/98233._SY475_.jpg","(first published 2001)"
"1613084109-3157","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The One Device: The Secret History of the iPhone","https://www.goodreads.com/book/show/32603496-the-one-device","The One Device: The Secret History of the iPhone","Brian Merchant","null","Technology","0593078411
                      (ISBN13: 9780593078419)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481570357l/32603496._SY475_.jpg","null"
"1613083995-3011","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Googled: The End of the World as We Know It","https://www.goodreads.com/book/show/6514908-googled","Googled: The End of the World as We Know It","Ken Auletta","null","Business","1594202354
                      (ISBN13: 9781594202353)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347715468l/6514908.jpg","(first published 2009)"
"1613084084-3132","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Wealth of Networks: How Social Production Transforms Markets and Freedom","https://www.goodreads.com/book/show/14721.The_Wealth_of_Networks","The Wealth of Networks: How Social Production Transforms Markets and Freedom","Yochai Benkler","null","Internet","0300110561
                      (ISBN13: 9780300110562)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388756111l/14721.jpg","(first published January 1st 2006)"
"1613083718-2685","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Everything Store: Jeff Bezos and the Age of Amazon","https://www.goodreads.com/book/show/17660462-the-everything-store","The Everything Store: Jeff Bezos and the Age of Amazon","Brad Stone","null","Management","0316219266
                      (ISBN13: 9780316219266)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365394361l/17660462.jpg","null"
"1613083995-3016","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Googled: The End of the World as We Know It","https://www.goodreads.com/book/show/6514908-googled","Googled: The End of the World as We Know It","Ken Auletta","null","Economics","1594202354
                      (ISBN13: 9781594202353)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347715468l/6514908.jpg","(first published 2009)"
"1613083913-2893","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Net Delusion: The Dark Side of Internet Freedom","https://www.goodreads.com/book/show/10003400-the-net-delusion","The Net Delusion: The Dark Side of Internet Freedom","Evgeny Morozov","null","Politics","1586488759
                      (ISBN13: 9781586488758)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1297025324l/10003400.jpg","(first published November 16th 2010)"
"1613083975-2991","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Groundswell: Winning in a World Transformed by Social Technologies","https://www.goodreads.com/book/show/2896061-groundswell","Groundswell: Winning in a World Transformed by Social Technologies","Charlene Li","null","Internet","1422125009
                      (ISBN13: 9781422125007)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442815608l/2896061._SY475_.jpg","(first published January 1st 2008)"
"1613084345-3472","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Cyberwar: The Next Threat to National Security & What to Do About It","https://www.goodreads.com/book/show/7286217-cyberwar","Cyberwar: The Next Threat to National Security & What to Do About It","Richard A. Clarke","null","Computers","0061962236
                      (ISBN13: 9780061962233)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267728945l/7286217.jpg","null"
"1613084319-3426","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The New New Thing: A Silicon Valley Story","https://www.goodreads.com/book/show/10658.The_New_New_Thing","The New New Thing: A Silicon Valley Story","Michael   Lewis","null","Computers","0140296468
                      (ISBN13: 9780140296464)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442523392l/10658._SY475_.jpg","(first published 1999)"
"1613084310-3401","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Fire in the Valley: The Making of the Personal Computer","https://www.goodreads.com/book/show/1427580.Fire_in_the_Valley","Fire in the Valley: The Making of the Personal Computer","Paul Freiberger","null","History","0071358927
                      (ISBN13: 9780071358927)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387733026l/1427580.jpg","(first published 1984)"
"1613084391-3505","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","In the Beginning...Was the Command Line","https://www.goodreads.com/book/show/18937.In_the_Beginning_Was_the_Command_Line","In the Beginning...Was the Command Line","Neal Stephenson","null","Science","0380815931
                      (ISBN13: 9780380815937)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407709658l/18937.jpg","(first published May 1999)"
"1613084044-3083","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Getting Real: The Smarter, Faster, Easier Way to Build a Web Application","https://www.goodreads.com/book/show/447648.Getting_Real","Getting Real: The Smarter, Faster, Easier Way to Build a Web Application","37 Signals","null","Programming","English","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384467434l/447648.jpg","null"
"1613083629-2578","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Future of the Internet and How to Stop It","https://www.goodreads.com/book/show/2442173.The_Future_of_the_Internet_and_How_to_Stop_It","The Future of the Internet and How to Stop It","Jonathan L. Zittrain","null","Technology","0300124872
                      (ISBN13: 9780300124873)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328828182l/2442173.jpg","(first published January 1st 2008)"
"1613083677-2631","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Brotopia: Breaking Up the Boys' Club of Silicon Valley","https://www.goodreads.com/book/show/36288143-brotopia","Brotopia: Breaking Up the Boys' Club of Silicon Valley","Emily  Chang","null","Technology","B074LQKJJC","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506133747l/36288143._SY475_.jpg","null"
"1613084319-3421","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The New New Thing: A Silicon Valley Story","https://www.goodreads.com/book/show/10658.The_New_New_Thing","The New New Thing: A Silicon Valley Story","Michael   Lewis","null","Economics","0140296468
                      (ISBN13: 9780140296464)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442523392l/10658._SY475_.jpg","(first published 1999)"
"1613084378-3496","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","What Would Google Do?","https://www.goodreads.com/book/show/5100525-what-would-google-do","What Would Google Do?","Jeff Jarvis","null","Google","0061709719
                      (ISBN13: 9780061709715)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349060717l/5100525.jpg","null"
"1613084118-3176","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader","https://www.goodreads.com/book/show/23395719-becoming-steve-jobs","Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader","Brent Schlender","null","Apple","0771079141
                      (ISBN13: 9780771079146)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421713283l/23395719.jpg","null"
"1613084118-3173","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader","https://www.goodreads.com/book/show/23395719-becoming-steve-jobs","Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader","Brent Schlender","null","Biography Memoir","0771079141
                      (ISBN13: 9780771079146)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421713283l/23395719.jpg","null"
"1613084276-3348","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Future of Ideas: The Fate of the Commons in a Connected World","https://www.goodreads.com/book/show/72012.The_Future_of_Ideas","The Future of Ideas: The Fate of the Commons in a Connected World","Lawrence Lessig","null","Law","0375726446
                      (ISBN13: 9780375726446)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403185621l/72012.jpg","(first published 2001)"
"1613084147-3216","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Wired for War: The Robotics Revolution and Conflict in the Twenty-First Century","https://www.goodreads.com/book/show/6098718-wired-for-war","Wired for War: The Robotics Revolution and Conflict in the Twenty-First Century","P.W. Singer","null","Artificial Intelligence","1594201986
                      (ISBN13: 9781594201981)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442810259l/6098718._SY475_.jpg","(first published 2009)"
"1613083995-3018","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Googled: The End of the World as We Know It","https://www.goodreads.com/book/show/6514908-googled","Googled: The End of the World as We Know It","Ken Auletta","null","Google","1594202354
                      (ISBN13: 9781594202353)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347715468l/6514908.jpg","(first published 2009)"
"1613083787-2739","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Betty Doll","https://www.goodreads.com/book/show/835023.Betty_Doll","Betty Doll","Patricia Polacco","null","Nonfiction","014240196X
                      (ISBN13: 9780142401965)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347648394l/835023.jpg","(first published April 2nd 2001)"
"1613084391-3508","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","In the Beginning...Was the Command Line","https://www.goodreads.com/book/show/18937.In_the_Beginning_Was_the_Command_Line","In the Beginning...Was the Command Line","Neal Stephenson","null","Computers","0380815931
                      (ISBN13: 9780380815937)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407709658l/18937.jpg","(first published May 1999)"
"1613083900-2876","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State","https://www.goodreads.com/book/show/18213403-no-place-to-hide","No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State","Glenn Greenwald","null","Science","162779073X
                      (ISBN13: 9781627790734)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383352779l/18213403.jpg","null"
"1613084293-3383","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Founders at Work: Stories of Startups' Early Days","https://www.goodreads.com/book/show/98233.Founders_at_Work","Founders at Work: Stories of Startups' Early Days","Jessica Livingston","null","Leadership","1590597141
                      (ISBN13: 9781590597149)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439953323l/98233._SY475_.jpg","(first published 2001)"
"1613083718-2683","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Everything Store: Jeff Bezos and the Age of Amazon","https://www.goodreads.com/book/show/17660462-the-everything-store","The Everything Store: Jeff Bezos and the Age of Amazon","Brad Stone","null","Audiobook","0316219266
                      (ISBN13: 9780316219266)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365394361l/17660462.jpg","null"
"1613084391-3506","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","In the Beginning...Was the Command Line","https://www.goodreads.com/book/show/18937.In_the_Beginning_Was_the_Command_Line","In the Beginning...Was the Command Line","Neal Stephenson","null","Technology","0380815931
                      (ISBN13: 9780380815937)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407709658l/18937.jpg","(first published May 1999)"
"1613084446-3526","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Soul of a New Machine","https://www.goodreads.com/book/show/7090.The_Soul_of_a_New_Machine","The Soul of a New Machine","Tracy Kidder","null","Computers","0316491977
                      (ISBN13: 9780316491976)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441207522l/7090.jpg","(first published 1981)"
"1613083787-2734","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Betty Doll","https://www.goodreads.com/book/show/835023.Betty_Doll","Betty Doll","Patricia Polacco","null","Picture Books","014240196X
                      (ISBN13: 9780142401965)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347648394l/835023.jpg","(first published April 2nd 2001)"
"1613084127-3181","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Show Stopper!: The Breakneck Race to Create Windows NT and the Next Generation at Microsoft","https://www.goodreads.com/book/show/1416925.Show_Stopper_","Show Stopper!: The Breakneck Race to Create Windows NT and the Next Generation at Microsoft","G. Pascal Zachary","null","Business","0029356717
                      (ISBN13: 9780029356715)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442369390l/1416925._SY475_.jpg","null"
"1613083640-2597","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Haunted Empire: Apple After Steve Jobs","https://www.goodreads.com/book/show/18669497-haunted-empire","Haunted Empire: Apple After Steve Jobs","Yukari Iwatani Kane","null","Finance","English","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391414801l/18669497.jpg","(first published March 1st 2014)"
"1613084249-3302","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Worm: The First Digital World War","https://www.goodreads.com/book/show/11396195-worm","Worm: The First Digital World War","Mark Bowden","null","History","English","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1314808724l/11396195.jpg","(first published January 1st 2011)"
"1613083874-2834","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Weaving the Web: The Original Design and Ultimate Destiny of the World Wide Web","https://www.goodreads.com/book/show/821987.Weaving_the_Web","Weaving the Web: The Original Design and Ultimate Destiny of the World Wide Web","Tim Berners-Lee","null","Nonfiction","006251587X
                      (ISBN13: 9780062515872)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348418521l/821987.jpg","(first published 1999)"
"1613083874-2841","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Weaving the Web: The Original Design and Ultimate Destiny of the World Wide Web","https://www.goodreads.com/book/show/821987.Weaving_the_Web","Weaving the Web: The Original Design and Ultimate Destiny of the World Wide Web","Tim Berners-Lee","null","Internet","006251587X
                      (ISBN13: 9780062515872)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348418521l/821987.jpg","(first published 1999)"
"1613083929-2914","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Revolution in The Valley: The Insanely Great Story of How the Mac Was Made","https://www.goodreads.com/book/show/40492.Revolution_in_The_Valley","Revolution in The Valley: The Insanely Great Story of How the Mac Was Made","Andy Hertzfeld","null","Computers","English","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388288490l/40492.jpg","(first published December 6th 2004)"
"1613083748-2704","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Are You Smart Enough to Work at Google?","https://www.goodreads.com/book/show/11786911-are-you-smart-enough-to-work-at-google","Are You Smart Enough to Work at Google?","William Poundstone","null","Business","031609997X
                      (ISBN13: 9780316099974)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344271594l/11786911.jpg","(first published 2012)"
"1613084101-3151","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Medium is the Massage","https://www.goodreads.com/book/show/25955.The_Medium_is_the_Massage","The Medium is the Massage","Marshall McLuhan","null","Psychology","1584230703
                      (ISBN13: 9781584230700)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598544928l/25955._SY475_.jpg","(first published 1967)"
"1613083975-2986","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Groundswell: Winning in a World Transformed by Social Technologies","https://www.goodreads.com/book/show/2896061-groundswell","Groundswell: Winning in a World Transformed by Social Technologies","Charlene Li","null","Social","1422125009
                      (ISBN13: 9781422125007)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442815608l/2896061._SY475_.jpg","(first published January 1st 2008)"
"1613084008-3025","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Marissa Mayer and the Fight to Save Yahoo!","https://www.goodreads.com/book/show/22608584-marissa-mayer-and-the-fight-to-save-yahoo","Marissa Mayer and the Fight to Save Yahoo!","Nicholas Carlson","null","Biography","English","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409613156l/22608584.jpg","null"
"1613084285-3363","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Pixar Touch: The Making of a Company","https://www.goodreads.com/book/show/2632830-the-pixar-touch","The Pixar Touch: The Making of a Company","David A. Price","null","Science","0307265757
                      (ISBN13: 9780307265753)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438915448l/2632830._SX318_.jpg","(first published January 1st 2008)"
"1613083688-2643","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Imagine: How Creativity Works","https://www.goodreads.com/book/show/12987640-imagine","Imagine: How Creativity Works","Jonah Lehrer","null","Self Help","English","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327000473l/12987640.jpg","null"
"1613084109-3155","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The One Device: The Secret History of the iPhone","https://www.goodreads.com/book/show/32603496-the-one-device","The One Device: The Secret History of the iPhone","Brian Merchant","null","Nonfiction","0593078411
                      (ISBN13: 9780593078419)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481570357l/32603496._SY475_.jpg","null"
"1613083698-2655","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Inside Intel: Andy Grove and the Rise of the World's Most Powerful Chip Company","https://www.goodreads.com/book/show/493181.Inside_Intel","Inside Intel: Andy Grove and the Rise of the World's Most Powerful Chip Company","Tim Jackson","null","Biography","0452276438
                      (ISBN13: 9780452276437)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387738557l/493181.jpg","(first published April 1997)"
"1613083938-2931","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Hard Drive: Bill Gates and the Making of the Microsoft Empire","https://www.goodreads.com/book/show/41611.Hard_Drive","Hard Drive: Bill Gates and the Making of the Microsoft Empire","James Wallace","null","Autobiography","0887306292
                      (ISBN13: 9780887306297)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440431674l/41611._SY475_.jpg","(first published January 1st 1992)"
"1613083565-2526","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon","https://www.goodreads.com/book/show/18465875-countdown-to-zero-day","Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon","Kim Zetter","null","Spy Thriller","","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404960332l/18465875.jpg","(first published June 3rd 2014)"
"1613083950-2940","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Intel Trinity: How Robert Noyce, Gordon Moore, and Andy Grove Built the World's Most Important Company","https://www.goodreads.com/book/show/18606951-the-intel-trinity","The Intel Trinity: How Robert Noyce, Gordon Moore, and Andy Grove Built the World's Most Important Company","Michael S. Malone","null","History","null","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397422937l/18606951.jpg","null"
"1613084276-3347","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Future of Ideas: The Fate of the Commons in a Connected World","https://www.goodreads.com/book/show/72012.The_Future_of_Ideas","The Future of Ideas: The Fate of the Commons in a Connected World","Lawrence Lessig","null","Technology","0375726446
                      (ISBN13: 9780375726446)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403185621l/72012.jpg","(first published 2001)"
"1613083589-2533","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way","https://www.goodreads.com/book/show/211099.Losing_My_Virginity","Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way","Richard Branson","null","Business","0812932293
                      (ISBN13: 9780812932294)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388216295l/211099.jpg","(first published 1998)"
"1613084357-3486","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry","https://www.goodreads.com/book/show/725789.What_the_Dormouse_Said","What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry","John Markoff","null","Society","0143036769
                      (ISBN13: 9780143036760)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442903066l/725789._SY475_.jpg","(first published 2005)"
"1613084023-3064","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Inside Steve's Brain","https://www.goodreads.com/book/show/2363692.Inside_Steve_s_Brain","Inside Steve's Brain","Leander Kahney","null","Economics","1591841984
                      (ISBN13: 9781591841982)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440892053l/2363692._SX318_.jpg","(first published January 1st 2008)"
"1613083677-2634","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Brotopia: Breaking Up the Boys' Club of Silicon Valley","https://www.goodreads.com/book/show/36288143-brotopia","Brotopia: Breaking Up the Boys' Club of Silicon Valley","Emily  Chang","null","Sociology","B074LQKJJC","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506133747l/36288143._SY475_.jpg","null"
"1613084147-3208","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Wired for War: The Robotics Revolution and Conflict in the Twenty-First Century","https://www.goodreads.com/book/show/6098718-wired-for-war","Wired for War: The Robotics Revolution and Conflict in the Twenty-First Century","P.W. Singer","null","War","1594201986
                      (ISBN13: 9781594201981)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442810259l/6098718._SY475_.jpg","(first published 2009)"
"1613084301-3385","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground","https://www.goodreads.com/book/show/9319468-kingpin","Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground","Kevin Poulsen","null","Biography","0307588688
                      (ISBN13: 9780307588685)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320477825l/9319468.jpg","null"
"1613084331-3435","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Cathedral & the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary","https://www.goodreads.com/book/show/134825.The_Cathedral_the_Bazaar","The Cathedral & the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary","Eric S. Raymond","null","Computer Science","0596001088
                      (ISBN13: 9780596001087)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328835964l/134825.jpg","(first published October 1999)"
"1613084345-3462","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Cyberwar: The Next Threat to National Security & What to Do About It","https://www.goodreads.com/book/show/7286217-cyberwar","Cyberwar: The Next Threat to National Security & What to Do About It","Richard A. Clarke","null","Technology","0061962236
                      (ISBN13: 9780061962233)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267728945l/7286217.jpg","null"
"1613083822-2772","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Road Ahead","https://www.goodreads.com/book/show/1081637.The_Road_Ahead","The Road Ahead","Bill  Gates","null","Computers","0670772895
                      (ISBN13: 9780670772896)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180829010l/1081637.jpg","null"
"1613083748-2709","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Are You Smart Enough to Work at Google?","https://www.goodreads.com/book/show/11786911-are-you-smart-enough-to-work-at-google","Are You Smart Enough to Work at Google?","William Poundstone","null","Technology","031609997X
                      (ISBN13: 9780316099974)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344271594l/11786911.jpg","(first published 2012)"
"1613083838-2795","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Perfect Store: Inside eBay","https://www.goodreads.com/book/show/324739.The_Perfect_Store","The Perfect Store: Inside eBay","Adam Cohen","null","Computers","0316164933
                      (ISBN13: 9780316164931)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344267788l/324739.jpg","(first published May 25th 2003)"
"1613084135-3206","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Google Speaks","https://www.goodreads.com/book/show/5705284-google-speaks","Google Speaks","Janet Lowe","null","Technology","047039854X
                      (ISBN13: 9780470398548)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348883110l/5705284.jpg","(first published April 22nd 2009)"
